Position,Title,Author,Description,Article link,PDF Link,Research Methods,Focus Areas,Topics or Themes,Geographical Focus,Temporal Focus
14,Is github's copilot as bad as humans at introducing vulnerabilities in code?,"O Asare, M Nagappan, N Asokan - Empirical Software Engineering, 2023 - Springer","… language models as they relate to neural code completion. We first discuss a brief history
of language models … was based on samples obtained from the Big-Vul dataset curated and …",https://link.springer.com/article/10.1007/s10664-023-10380-1,https://arxiv.org/pdf/2204.04741,,,,,
15,MARFCAT: Fast code analysis for defects and vulnerabilities,"SA Mokhov, J Paquet, M Debbabi - 2015 IEEE 1st International …, 2015 - ieeexplore.ieee.org","… tracks comprising CVE-selected cases, stand-alone cases, and large … // Construct an index
mapping CVEs to files and locations … language models per default MARF specification ([14]) 3 …",https://ieeexplore.ieee.org/abstract/document/7070488/,,,,,,
16,Exploring the security awareness of the python and javascript open source communities,"G Antal, M Keleti, P Hegedŭs - … of the 17th International Conference on …, 2020 - dl.acm.org","… We found that there is a large intersection in the vulnerability … step we could not find any
CVE/CWE IDs in their commit messages… These revisions were mapped directly to the referenced …",https://dl.acm.org/doi/abs/10.1145/3379597.3387513,https://arxiv.org/pdf/2006.13652,,,,,
17,Global monitor using spatiotemporally correlated local monitors,"G Yadav, K Paul - 2021 IEEE 20th International Symposium on …, 2021 - ieeexplore.ieee.org","… In recent years, neural language models based on recurrent … ID, we use CVE-CWE-CAPEC
mapping, CAPEC description and … size decreases by a large extent. We show an example for …",https://ieeexplore.ieee.org/abstract/document/9685330/,,,,,,Current Issues
18,Towards Vulnerability Types Classification Using Pure Self-Attention: A Common Weakness Enumeration Based Approach,"T Wang, S Qin, KP Chow - 2021 IEEE 24th International …, 2021 - ieeexplore.ieee.org","… the English language model for both BERTBASE model with 12 … vastly alleviates the workload
of NVD staff on CVECWE … Lastly, due to data imbalance issue and large category amount, …",https://ieeexplore.ieee.org/abstract/document/9724608/,,,,,,
19,The SEPSES knowledge graph: An integrated resource for cybersecurity,"E Kiesling, A Ekelhart, K Kurniawan… - International Semantic …, 2019 - Springer","… mappings into the structure of the final ontology. Initially, we developed RDF Mapping
Language (RML) transformation mappings … Setting: We use a large data set collected during the …",https://link.springer.com/chapter/10.1007/978-3-030-30796-7_13,https://link.springer.com/chapter/10.1007/978-3-030-30796-7_13,,,,,
20,Constructing a “common cross site scripting vulnerabilities enumeration (cxe)” using cwe and cve,"K Sivakumar, K Garg - … : Third International Conference, ICISS 2007, Delhi …, 2007 - Springer","… By organizing these errors into a simple taxonomy and mapping CVE with CWE, we have
constructed … By using CVE-CWE-CXE-based relationships, a high quality collection of sample …",https://link.springer.com/chapter/10.1007/978-3-540-77086-2_25,,,,,,
21,Predicting entity relations across different security databases by using graph attention network,"L Yuan, Y Bai, Z Xing, S Chen, X Li… - 2021 IEEE 45th Annual …, 2021 - ieeexplore.ieee.org","… After activated by ReLU, we concatenate multiple feature maps of the same dimension by …
model with huge parameters. The DISTMULT [41], an improved version of RESCAL, adopted …",https://ieeexplore.ieee.org/abstract/document/9529668/,https://sen-chen.github.io/img_cs/pdf/compsac2021_predicting_entity_relation.pdf,,,,,
22,PenQuest: a gamified attacker/defender meta model for cyber security assessment and education,"R Luh, M Temper, S Tjoa, S Schrittwieser… - Journal of Computer …, 2020 - Springer","… , CVE/CWE and NIST SP 800-53. Attack patterns, vulnerabilities, and mitigating controls are
mapped … While this offers flexibility and is suitable for dedicated workshops comprising large …",https://link.springer.com/article/10.1007/s11416-019-00342-x,https://link.springer.com/article/10.1007/s11416-019-00342-x,,,,,
23,Comparative Evaluation of NLP-Based Approaches for Linking CAPEC Attack Patterns from CVE Vulnerability Information,"K Kanakogi, H Washizaki, Y Fukazawa, S Ogata… - Applied Sciences, 2022 - mdpi.com","… on mapping of ATT&CK [14] and CVE [15,16,17] has intensified. The approach in this study
should be applicable to map … This low accuracy is due to the CVE-CWE link. First, some of the …",https://www.mdpi.com/2076-3417/12/7/3400,https://www.mdpi.com/2076-3417/12/7/3400,,,,,
24,"Identification and Assessment of Security Attacks and Vulnerabilities, utilizing CVE, CWE and CAPEC",C Grigoriádis - 2019 - search.proquest.com,"… Furthermore, the CVE-CWE connection table provided by NIST is queried for connections.
If such a connection exists, the search goes on in the CWE table in order to provide a …",https://search.proquest.com/openview/076918e378eafe21f49a6781f9152d18/1?pq-origsite=gscholar&cbl=2026366&diss=y,,,,,,
25,Integrating Heterogeneous Security Knowledge Sources for Comprehensive Security Analysis,"G Wang, T Li, H Yue, Z Yang… - 2021 IEEE 45th Annual …, 2021 - ieeexplore.ieee.org","… difficult to comprehensively analyze security of such large-scale systems, which is a …
The third part is data mapping and linking, where we integrate relational structured data into …",https://ieeexplore.ieee.org/abstract/document/9529428/,,,,,,
26,Current challenges of cyber threat and vulnerability identification using public enumerations,"L Sadlek, P Čeleda, D Tovarňák - Proceedings of the 17th International …, 2022 - dl.acm.org","… Based on these results, we conclude that mapping of enumeration entries may not accurately
determine related parts of the information based on enumeration entries observed in the …",https://dl.acm.org/doi/abs/10.1145/3538969.3544458,https://arxiv.org/pdf/2206.14539,,,,,
27,Uncovering CWE-CVE-CPE Relations with Threat Knowledge Graphs,"Z Shi, N Matyunin, K Graffi, D Starobinski - arXiv preprint arXiv:2305.00632, 2023 - arxiv.org","… levels of a system, CVE-CWE associations assist in mapping … In order to make the results
comparable, we test a large … CVE-CWE triples, and we evaluate how well the embedding …",https://arxiv.org/abs/2305.00632,https://arxiv.org/pdf/2305.00632,,,,,
28,Automatic analysis and reasoning based on vulnerability knowledge graph,"S Qin, KP Chow - Cyberspace Data and Intelligence, and Cyber-Living …, 2019 - Springer","… For cybersecurity community, obtaining and managing a large amount of high-quality … is
valuable in describing security standards and mapping other security-domain ontologies. The …",https://link.springer.com/chapter/10.1007/978-981-15-1922-2_1,,,,,,
29,"Identification and assessment of security attacks and vulnerabilities, utilizing CVE, CWE and CAPEC",Χ Γρηγοριάδης - 2019 - dione.lib.unipi.gr,"… Furthermore, the CVE-CWE connection table provided by NIST is queried for connections.
If such a connection exists, the search goes on in the CWE table in order to provide a …",https://dione.lib.unipi.gr/xmlui/handle/unipi/12252,https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/12252/Grigoriadis_mpsp17015.pdf?sequence=1&isAllowed=y,,,,,
30,Security automation and threat information-sharing options,"P Kampanakis - IEEE Security & Privacy, 2014 - ieeexplore.ieee.org","… IF-MAP is an example of a publish/subscribe model that defines messages and transport
between entities. IF-MAP messages containing data described by the IF-MAP data model, …",https://ieeexplore.ieee.org/abstract/document/6924671/,,,,,,
31,A mining approach to obtain the software vulnerability characteristics,"X Li, J Chen, Z Lin, L Zhang, Z Wang… - … Cloud and Big Data …, 2017 - ieeexplore.ieee.org","… The feature extraction technique employed in this study is the semantic model approach.
This model allows you to select features based on their plausibility and usefulness, meaning …",https://ieeexplore.ieee.org/abstract/document/8026953/,,,,,,
32,Towards Automatically Connecting IoT Devices with Vulnerabilities in the Wild,"J Song, S Wan, M Huang, J Liu, L Sun… - ACM Transactions on …, 2023 - dl.acm.org","… information sources, we build the mapping of report IDs cross diferent information sources. …
, large language models (LLMs) have achieved impressive results in natural language …",https://dl.acm.org/doi/abs/10.1145/3608951,https://dl.acm.org/doi/pdf/10.1145/3608951,,,,,
33,A Software Security Entity Relationships Prediction Framework Based on Knowledge Graph Embedding Using Sentence-Bert,"Y Wang, X Hou, X Ma, Q Lv - International Conference on Wireless …, 2022 - Springer","… We finally designed a large number of experiments to evaluate the effectiveness of our model
… In this way, we can preserve the mapping properties of the given relations. Meanwhile, the …",https://link.springer.com/chapter/10.1007/978-3-031-19214-2_42,,Experiments,,,,
34,Keyword Extraction From Specification Documents for Planning Security Mechanisms,"JJ Poozhithara, HU Asuncion… - 2023 IEEE/ACM 45th …, 2023 - ieeexplore.ieee.org","… We evaluate VDocScan using an extensive dataset of CVE vulnerability reports mapped to
over 3600 … We skipped deep learning models due to the large datasets they require to obtain …",https://ieeexplore.ieee.org/abstract/document/10172752/,https://faculty.washington.edu/lagesse/publications/ICSE2023.pdf,,,,,
35,ML-FEED: Machine Learning Framework for Efficient Exploit Detection,"T Saha, T Al Rahat, N Aaraj, Y Tian… - 2022 IEEE 4th …, 2022 - ieeexplore.ieee.org","… the execution of a CVE/CWE vulnerability fingerprint. Prior ML-… , we map the entities to their
related programming language-… an NLP model that learns word associations from a large text …",https://ieeexplore.ieee.org/abstract/document/10063446/,https://www.researchgate.net/profile/Tamjid-Al-Rahat-2/publication/364777657_ML-FEED_Machine_Learning_Framework_for_Efficient_Exploit_Detection/links/6421e283a1b72772e42f701f/ML-FEED-Machine-Learning-Framework-for-Efficient-Exploit-Detection.pdf,,,,,
36,Vulnerability Clustering and other Machine Learning Applications of Semantic Vulnerability Embeddings,"MO Stehr, M Kim - arXiv preprint arXiv:2310.05935, 2023 - arxiv.org","… the relational nature of the CVE/CWE associations and their … model tries to be more
semantically accurate by mapping … is quite small for training a language model. Clusters of …",https://arxiv.org/abs/2310.05935,https://arxiv.org/pdf/2310.05935,,,,,
37,Instruction2vec: Efficient preprocessor of assembly code to detect software weakness with CNN,"Y Lee, H Kwon, SH Choi, SH Lim, SH Baek, KW Park - Applied Sciences, 2019 - mdpi.com","… The model learns to map each discrete word ID, which … from an unsupervised neural
language model. Word vectors are … Therefore, we require a large amount of software weakness …",https://www.mdpi.com/2076-3417/9/19/4086,https://www.mdpi.com/2076-3417/9/19/4086/pdf,,,,,
38,Data-driven vulnerability exploration for design phase system analysis,"G Bakirtzis, BJ Simon, AG Collins… - IEEE Systems …, 2019 - ieeexplore.ieee.org","… model Σ. It is through that extra design information that our solution CYBOK is able to take the
graph of a system model and map … that can—by their fidelity—immediately produce a large …",https://ieeexplore.ieee.org/abstract/document/8850328/,https://arxiv.org/pdf/1909.02923,,,Solutions and Mitigations,,
39,Attack prediction in Internet of Things using knowledge graph,"S Zhang, C Zhao, S Wang, S Li… - … Conference on Internet …, 2023 - spiedigitallibrary.org","… In this paper, we obtain the linkage of these knowledge repositories and map them … large
scale knowledge graphs like IOTEKG. For triple information, we directly use the TransE model …",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12708/127080K/Attack-prediction-in-Internet-of-Things-using-knowledge-graph/10.1117/12.2683915.short,,,,,,
40,Categorizing software vulnerabilities using overlapping self-organizing map,"S Hassanvand, M Ghasemzadeh - International Journal of Engineering … - academia.edu","… In this research work, by selecting the MoSCoW prioritization method and by combining it
with the SOM self-organizing mapping algorithm, we present a new categorization for the …",https://www.academia.edu/download/55415012/IJOER-DEC-2017-11.pdf,https://www.academia.edu/download/55415012/IJOER-DEC-2017-11.pdf,,,,,Current Issues
41,Identifying missing relationships of CAPEC attack patterns by transformer models and graph structure,"R Miyata, H Washizaki, K Sumoto… - 2023 IEEE/ACM 1st …, 2023 - ieeexplore.ieee.org","… Transformer-based models pre-trained with large amounts of … natural language processing
tasks. Fine-tuning these pre-trained models can create accurate and easily adaptable models …",https://ieeexplore.ieee.org/abstract/document/10190618/,,,,,,
42,OVM: an ontology for vulnerability management,"JA Wang, M Guo - Proceedings of the 5th Annual Workshop on Cyber …, 2009 - dl.acm.org","… Over the past a few decades, a significantly large amount of knowledge has been accumulated
… Each instance of IT_Product maps to an entity of a computing system in the real word. We …",https://dl.acm.org/doi/abs/10.1145/1558607.1558646,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=84141a28eff66c5cb78dd7090f3182605aad6c52,,,,,
43,Streamlining Attack Tree Generation: A Fragment-Based Approach,"I Pekaric, M Frick, JG Adigun, R Groner, T Witte… - arXiv preprint arXiv …, 2023 - arxiv.org","… to generate a large number of smaller ”tree” models that could be … models in the form of
attack graphs (Haque et al., 2017). These can be cyclic and acyclic graphs that outline a mapping …",https://arxiv.org/abs/2310.00654,https://arxiv.org/pdf/2310.00654,,,,,
44,A Cybersecurity Knowledge Graph Completion Method for Penetration Testing,"P Wang, J Liu, X Zhong, S Zhou - Electronics, 2023 - mdpi.com","… model, semantic matching model and neural network model. Most distance-based models
map … In the training process of the knowledge graph completion model, a large number of …",https://www.mdpi.com/2079-9292/12/8/1837,https://www.mdpi.com/2079-9292/12/8/1837,,,,,
45,Assessment of hypervisor vulnerabilities,"A Thongthua, S Ngamsuriyaroj - 2016 International conference …, 2016 - ieeexplore.ieee.org","… vulnerabilities which could lead to huge damage if they are exploited [3… All issues can map
to 33 CWEs, and two issues have … Thus, the 28 remaining issues can be mapped to CVEs and …",https://ieeexplore.ieee.org/abstract/document/7600180/,,,,,,
46,An ontological approach to computer system security,"J An Wang, MM Guo, J Camargo - Information Security Journal: A …, 2010 - Taylor & Francis","… attributes for each concept and its subconcepts as the diagram would be considerably big. …
the mapping relationships in NVD, where a type of vulnerability (CWE) can be mapped to an …",https://www.tandfonline.com/doi/abs/10.1080/19393550903404902,,,,,,
47,Selecting system specific cybersecurity attack patterns using topic modeling,"S Adams, B Carter, C Fleming… - … Big Data Science And …, 2018 - ieeexplore.ieee.org","… The proposed method uses topic modeling to extract hidden topics from the textual … a topic
model. The posterior distribution of topics for the system is estimated using the model and any …",https://ieeexplore.ieee.org/abstract/document/8455944/,,,,,,
48,Leveraging external data sources to enhance secure system design,"J Samuel, J Jaskolka, GOM Yee - … , Privacy, and Security: A Big …, 2021 - ieeexplore.ieee.org","Today's software systems are riddled with security vulnerabilities that invite attack. We
envisage a secure software design process at the architectural level, in which the security …",https://ieeexplore.ieee.org/abstract/document/9452029/,https://drive.google.com/file/d/1e2-RpXo6ybfE_GEPZ94-sPGw1mO1FZXf/view,,,,,
49,Using the SIEM Software vulnerability detection model proposed,"I Jeon, K Han, D Kim, J Choi - Journal of the Korea Institute of …, 2015 - koreascience.kr","… With the advancement of SIEM from ESM, it allows deep correlated analysis using huge … ,
and respond to software’s vulnerabilities by analyzing big data. In the phase of monitoring and …",https://koreascience.kr/article/JAKO201527358961998.page,https://koreascience.kr/article/JAKO201527358961998.pdf,,,,,
50,A survey on data-driven software vulnerability assessment and prioritization,"THM Le, H Chen, MA Babar - ACM Computing Surveys, 2022 - dl.acm.org","… large data from multiple sources. Many studies in this area have proposed different Natural
Language … successfully used the feature activation maps in a CNN model [162] or leveraged …",https://dl.acm.org/doi/abs/10.1145/3529757,https://arxiv.org/pdf/2107.08364,,,,,
51,Coevolutionary modeling of cyber attack patterns and mitigations using public datasets,"M Shlapentokh-Rothman, J Kelly, A Baral… - Proceedings of the …, 2021 - dl.acm.org","… we want to model, we note that APTs frequently indiscriminately target large slices of net…
(BNF) context-free grammar and an intermediate interpreter to map from the “genome” to a “…",https://dl.acm.org/doi/abs/10.1145/3449639.3459351,https://dspace.mit.edu/bitstream/handle/1721.1/145921/3449639.3459351.pdf?sequence=1,,,,,
52,Model-based vulnerability testing for web applications,"F Lebeau, B Legeard, F Peureux… - 2013 IEEE Sixth …, 2013 - ieeexplore.ieee.org","This paper deals with an original approach to automate Model-Based Vulnerability Testing (MBVT)
for Web applications, which aims at improving the accuracy and precision of …",https://ieeexplore.ieee.org/abstract/document/6571669/,https://hal.science/hal-00935070/document,,,,,
53,Different Machine Learning Algorithms used for Secure Software Advance using Software Repositories,"K Chaudhary, S Singh - 2023 - researchgate.net","… the first project (manually mapping) and this project (automated mapping) resulted in …
mapping comparison between two large data sets was concluded as a success. This ML model …",https://www.researchgate.net/profile/Kanchan-Chaudhary/publication/370487530_Different_Machine_Learning_Algorithms_used_for_Secure_Software_Advance_using_Software_Repositories/links/64a919af95bbbe0c6e1ffa96/Different-Machine-Learning-Algorithms-used-for-Secure-Software-Advance-using-Software-Repositories.pdf,https://www.researchgate.net/profile/Kanchan-Chaudhary/publication/370487530_Different_Machine_Learning_Algorithms_used_for_Secure_Software_Advance_using_Software_Repositories/links/64a919af95bbbe0c6e1ffa96/Different-Machine-Learning-Algorithms-used-for-Secure-Software-Advance-using-Software-Repositories.pdf,,,,,
54,Ontology of metrics for cyber security assessment,"E Doynikova, A Fedorchenko, I Kotenko - Proceedings of the 14th …, 2019 - dl.acm.org","… The underlying model implies integration of user domain … ), and operations (the user maps
the actions to each expectation, … of all known attacks will take huge amount of resources. Thus, …",https://dl.acm.org/doi/abs/10.1145/3339252.3341496,,,,,,
55,MARFCAT: Transitioning to binary and larger data sets of SATE IV,"SA Mokhov, J Paquet, M Debbabi, Y Sun - arXiv preprint arXiv:1207.3718, 2012 - arxiv.org","… // Construct an index mapping CVEs to files and locations … language models per default
MARF specification ([Mok10b]) 3 … if our first estimate of a CVE/CWE is incorrect, the next one in …",https://arxiv.org/abs/1207.3718,https://arxiv.org/pdf/1207.3718,,,,,
56,Threat Management Based on Information About Vulnerabilities,BL Sadlek - is.muni.cz,"… The software performs routine work instead of a human person or processes a large amount
of data which could not be even processed by a human or could not be processed in such a …",https://is.muni.cz/th/vpeip/diploma_thesis.pdf,https://is.muni.cz/th/vpeip/diploma_thesis.pdf,,,,,
57,"Using Machine Learning for Description and Inference of Cyber Threats, Vulnerabilities, and Mitigations",A Srinivasan - 2022 - dspace.mit.edu,"… In [8], CVEs were attempted to be mapped directly to … Even though BERT was pretrained
on a large corpus and can yield … The model was finetuned on the masked language modeling …",https://dspace.mit.edu/handle/1721.1/143257,https://dspace.mit.edu/bitstream/handle/1721.1/143257/Srinivasan-ashwins-meng-eecs-2022-thesis.pdf?sequence=1&isAllowed=y,,,,,
58,Ontology for Cybersecurity Governance of ICT Systems,"F De Rosa, N Maunero, L Nicoletti, P Prinetto… - … –Italian Conference on …, 2022 - ceur-ws.org","… the management and use of these large and complex knowledge-… A large number of existing
standards and ontologies have … information and it has been mapped to all the most common …",https://ceur-ws.org/Vol-3260/paper4.pdf,https://ceur-ws.org/Vol-3260/paper4.pdf,,,,,
59,Virtual knowledge graphs for federated log analysis,"K Kurniawan, A Ekelhart, E Kiesling, D Winkler… - Proceedings of the 16th …, 2021 - dl.acm.org","… maps and parses the extracted log data into RDF. It uses the standard RDF mapping language
to map … improve log processing performance, we split large log files from the data set into …",https://dl.acm.org/doi/abs/10.1145/3465481.3465767,https://eprints.cs.univie.ac.at/6997/1/Virtual%20Knowledge%20Graphs%20for%20Federated%20Log%20Analysis.pdf,,,,,
60,Understanding and recommending security requirements from problem domain ontology: A cognitive three-layered approach,"BJ Kim, SW Lee - Journal of Systems and Software, 2020 - Elsevier","… The targets store large amounts of personal and customer information. Those data cannot
… In the “Threat Analysis” step, the result of threat modeling with the i* framework is mapped to …",https://www.sciencedirect.com/science/article/pii/S016412122030145X,,,,,,
61,A review of knowledge graph application scenarios in cyber security,"K Liu, F Wang, Z Ding, S Liang, Z Yu, Y Zhou - arXiv preprint arXiv …, 2022 - arxiv.org","… based on knowledge modeling have become new solutions under big data conditions. The
… IE models, even for the pre-training language model or the prompt-based language models. …",https://arxiv.org/abs/2204.04769,https://arxiv.org/pdf/2204.04769,,,Solutions and Mitigations,,
62,Improving Conceptual Domain Characterization in Ontology Networks,"BF Martins, JFR Román, O Pastor, M Hadad - International Conference on …, 2023 - Springer","… to describe complex domains should not be overly large or be used in isolation. Ontology …
concept present in the ontologies is being mapped through our team of domain specialists (…",https://link.springer.com/chapter/10.1007/978-3-031-33080-3_12,,,,,,Current Issues
63,Edge propagation for link prediction in requirement-cyber threat intelligence knowledge graph,"Y Zhang, J Chen, Z Cheng, X Shen, J Qin, Y Han… - Information Sciences, 2023 - Elsevier","… However, the RCTI graph is far from complete due to the large … model defines r as a
translation between the embeddings of h and t. The structural information is obtained by mapping …",https://www.sciencedirect.com/science/article/pii/S0020025523013555,,,,,,
64,A hybrid approach to detecting security defects in programs,"L Yu, J Zhou, Y Yi, J Fan, Q Wang - 2009 Ninth International …, 2009 - ieeexplore.ieee.org","… map them into reserved words or class names in the standard libraries of a program language.
… We apply the hybrid approach to other large sizes of programs and find out it can handle …",https://ieeexplore.ieee.org/abstract/document/5381537/,https://scholar.archive.org/work/dee7hgsqqjfjfm5lbvtmfjufe4/access/wayback/http://sei.pku.edu.cn/~wqx/publications/A%20Hybrid%20Approach%20to%20Detecting%20Security%20Defects%20in%20Programs.pdf,,,,,
65,Recent progress of using knowledge graph for cybersecurity,"K Liu, F Wang, Z Ding, S Liang, Z Yu, Y Zhou - Electronics, 2022 - mdpi.com","… have evolved into novel solutions in the context of big data. … or validating the IE models,
even for the pre-training language model or the prompt-based language models. However, …",https://www.mdpi.com/2079-9292/11/15/2287,https://www.mdpi.com/2079-9292/11/15/2287/pdf,,,Solutions and Mitigations,,
66,Automated Vulnerability Prediction in Software Systems and Lightweight Identification of Design Patterns in Source Code,JJ Poozhithara - 2021 - digital.lib.washington.edu,"… is a set of language modeling and feature learning techniques that map text (words or
phrases) from a vocabulary to high-dimensional vectors of real numbers. Such mapping can be …",https://digital.lib.washington.edu/researchworks/handle/1773/47191,https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/47191/Poozhithara_washington_0250O_23223.pdf?sequence=2.txt,,,,,
67,Comparison and Evaluation on Static Application Security Testing (SAST) Tools for Java,"K Li, S Chen, L Fan, R Feng, H Liu, C Liu, Y Liu… - 2023 - sen-chen.github.io","… , as we aim to conduct a large-scale experiment in this study. … effectiveness of each tool by
mapping them to CWE. Meanwhile, … been mapped to CWE Weaknesses, we thereby mapped …",https://sen-chen.github.io/img_cs/pdf/fse2023-sast.pdf,https://sen-chen.github.io/img_cs/pdf/fse2023-sast.pdf,Experiments,,,,
68,"Enhancements to Threat, Vulnerability, and Mitigation Knowledge For Cyber Analytics, Hunting, and Simulations","E Hemberg, M Turner, N Rutar… - Digital Threats: Research …, 2023 - dl.acm.org","… We map diferent kinds of hypothetical threats, those that … To handle the large number of attack
pattern combinations, we … -shot learning with newer language models. Another example is …",https://dl.acm.org/doi/abs/10.1145/3615668,https://dl.acm.org/doi/pdf/10.1145/3615668,,,,,
69,Towards a Multidimensional Analysis of the National Vulnerability Database,"R Singla, N Reddy, R Bettati, H Alnuweiri - IEEE Access, 2023 - ieeexplore.ieee.org","… We observe that the number of CVEs that map to no … a big impact when vulnerabilities are
discovered in such products. Our analysis showed that several such cases have led to a large …",https://ieeexplore.ieee.org/abstract/document/10233875/,https://ieeexplore.ieee.org/iel7/6287639/6514899/10233875.pdf,,,,,
