,Choice,Count,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Color 9,Color 10
19,MultimodalInjections,20,where we face multi modal model this could be an issue,Could be bundled to other prompt injections but probably deserves special status due to complexity,Increased attack and failure vector ,"With the introduction of models like GPT 4o, the landscape has expanded beyond just text to new novel attacks crossing various conversions, like voice-to-text then text-to-visual. ",I think this is a new one.,"I think most AIs will be multimodal soon, and this is an important vuln not previously captured","This is a reflection of steganography and steganophony attacks that I have seen used very much with the GPT-4o and more models. it requires specific filtering approaches and would be a good wake up call. I've always advocated to the fact that encrypting data and watermarks is easier when data is denser, and this captures the concept.","i am not sure if this should be part of prompt injection or different, but it will become an issue as genAI systems become more complex. a variant of this is also LLM chaining (where some LLMs are used as protective controls in the flow of transactions - eg using ML model to mask data or to evaluate if the prompt is broken)",Excellent entry but we should make this part of the existing,A fundamental attack vector that LLMs and MLLMs are fundamentally weak against. I'd consider it a superset of all the other injections mentioned in the list.
12,FunctionCallingAttack,17,function.call can have Security implications,This is one of the most common issues I see on a daily basis with customers. So this a great fit for number 2.,"Importance: Function Calling Attacks (FCA) pose significant risks by exploiting LLMs’ ability to execute external functions, leading to unauthorized access, data breaches, and system manipulation.

Top-Level Entry: FCAs should be a new, top-level entry due to their unique nature and specific mitigation needs, distinct from other vulnerabilities.

Additional Thoughts: Implement advanced monitoring and detection, conduct regular security assessments, promote collaboration for knowledge sharing, and develop clear policies and best practices to minimize FCA risks.","By linking this item with lowcode nocode top10 items I see the potential for this to grow and proliferate. Function calling is a distinct and intermediate way to access enhanced functions and I think this way of describing what was a ""plugin"" denomination before is more suitable to distinct from agents and agentic llm dev.","As chatbots gain more power - like being able to call functions and change the behavior of downstream services - it greatly expands the risk profile of LLMs. They are now not just ferrying text in and out, but affecting change in downstream systems.",This is a great entry but most probably needs to be part of injections instead of a new entry ,"Function calling attacks in large language models allow malicious actors to exploit the model's ability to execute or call functions, leading to unauthorized actions, data breaches, and system manipulation. These attacks can compromise the integrity and security of AI applications, making them vulnerable to exploitation. Including in the Top-level Top 10 underscores the need for stringent validation, monitoring, and control mechanisms to prevent unauthorized function execution and ensure the safe operation of AI systems.",,,
16,InsecureInputHandling,16,"Insecure Input handling covers various adversarial inputs, prompt injection, prompt extraction and prevent sensitive information disclosure by avoiding prompts that are susceptible to these attacks.  It helps with Security, Output integrity, Privacy protection, ethical use of AI, system availability.  ""Prompt injection could be part of input validation, however more robust protection is required to allow prompts that are valid and prevent that are not valid. LLMs interpret natural language, making validation more complex than traditional input sanitization. The goal is to prevent the model from executing unintended instructions or revealing sensitive information","I actually like the idea of maybe having a broader split of the vulns around input and output, and I feel like this is a step in the right direction. If we had a top 10 for each side, how models handle inputs and outputs and the vulns within them, we could cover more problem space and help the community more","Related to Indirect Prompt Injection and also vulnerabilities in Agentic System, recommend this as the base vulnerability that can incorporate the problems with insecure data being ingested by an LLM",,,,,,,
2,AgentAutonomyEscalation,16,This feels like it's part of the same category as UnauthorizedAccess but worth calling out separately because agentic workflows are such a common design pattern,"The expansion from chains to Autonomous agents, the risk of either the agents misused with malicious intent or agents have over-permissions either through misconfiguration or the lack of understanding of the capabilities of autonomous agent.  It could result in any from date loss, corrupt or self-inflicted DoS of some other system or infrastructure.",Real time  attacks seen,"This is a direct consequence of Insecure Design. Providing the ability for an agent to autonomously perform sensitive operations should be a high cost, high justification activity not taken lightly, and all ability to escalate that autonomy should be hardened or, ideally, prevented lest the agent incur in unwanted or damaging behavior.","There is a widespread lack of understanding of how Generative ML use, leading to extremely dangerous misuses - be it wrt cyber-offensive operations or actual societal damaage.","The feature demand for LLM-based software call for features that interact with other applications or devices. As this advances, there's a big risk user will abuse the software to try and enact behaviors they should not be allowed to.","Needless to say, attributing roles and privileges to agents and to the model itself when function calling happens are both critical and since the enterprise is thirsty about having automation happen I think this gains importance. The initial hype of LLM models Q&A is crossed and the next step is to see  it act by solving real issues, agents are exactly that.","Agent autonomy escalation occurs when an AI system gains more control or makes decisions beyond its intended scope, potentially leading to harmful outcomes. This issue is crucial for risk management, trust, safety, and ethics, as unchecked autonomy can result in unpredictable and dangerous behaviors. It could be a top-level entry due to its unique challenges related to AI control and oversight, requiring specific strategies to monitor and manage autonomous agents. Alternatively, it can be integrated into a broader AI vulnerability framework for a comprehensive risk management approach. Effective handling of this issue demands interdisciplinary collaboration, continuous monitoring, and clear accountability structures. Whether treated independently or as part of a larger framework, agent autonomy escalation is vital for the safe and ethical deployment of AI systems.","Agent autonomy escalation in large language models poses significant risks including unintended actions, security breaches, and exploitation by malicious actors. It complicates accountability and adherence to policies and regulations, while also potentially leading to biased and unethical decisions due to reduced human oversight. By including it in the Top-level at the LLM Top 10, we emphasize the critical need for effective controls and monitoring to manage these risks, ensuring AI applications are secure, compliant, and ethical.","I think a major challenge with autonomous agents is access control. Once the agent has access to the file system, additional tooling, and the internet, crossing these access boundaries can lead to dangerous outcomes."
1,AdversarialInputs,15,"I like the term 'Adversarial Inputs.' It could be a broad umbrella covering many other scenarios, from Prompt Injection to Data Poisoning. Borrowing the idea of characteristics and sub-characteristics of a quality model such as the ISO 25010, 'Adversarial Inputs' could be the equivalent of a characteristic involving several sub-characteristics related to different stages of user interaction with the LLM",Production Scale  attacks  seen with this  approach ,"Adversarial inputs encompass any kind of user input that is intended to ""break"" the LLM. It can be considered in the same category as prompt injection.","It should be new a top-level entry. This is a very common way to attack models, and certainly one that developers should put effort into addressing as early as possible.","Importance: Adversarial inputs are crafted to trick AI models into making mistakes, which can lead to serious consequences in areas like healthcare, finance, and security. Ensuring AI models can handle these inputs is crucial for their reliability and safety.

Top-Level Entry or Folded: This should be a new, top-level entry because of its unique and significant impact, requiring specific strategies for detection and mitigation.

Additional Thoughts: Regular monitoring and updating of defenses, collaboration between AI and cybersecurity experts, and training on recognizing these attacks are essential for enhancing AI security and reliability.","There are two categories of Adversarial Inputs - one category are clearly harmful, and effective classification on inputs can protect the LLM from having to process them. The more worrying variety are adversarial inputs that seem innocuous but generate harmful LLM behavior. We don't have any good models right now of these kinds of inputs, and if an attacker discovers them, it could be very dangerous.",This can be folded with existing LLM01: Prompt Injection from v1.1 as both vulnerabilities use the same pathways with very similar objectives + v2 Candidate #28 System Prompt Leakage.,At least half of the top 10 should be dedicated to protecting the actual behaviour of models - those things that are uniquely AI security and require non-traditional controls.,,
24,ResourceExhaustion,14,Could change denial of service and combine both of the entries into one. ,Could be added into DoS as a sub category. Also linked to Unrestricted Resource Consumption. ,Too many odd things happen when resources aren't controlled properly.,"High Computational Demand: Large language models require significant computational resources, which can be targeted to cause Denial of Service (DoS) by overwhelming the system.",This is a highly relevant and yet underappreciated vector of attacks,I like combination of both threats into single item,Similar to a DOS attack but using the system against itself,This is an improved version of our current Denial of service entry.  Including denial of wallet is crucial.,"This can be an extension to LLM04: Model Denial of Service

With LLMs becoming more widely deployed and used via APIs the cost of each request is becoming more apparent to many companies who are relying on the foundation models.

These costs can wrack up pretty fast, and even more than that an attacker can use the same tactics that are currently described in LLM04 to grow the vulnerable company's bill to enormous amounts quite easily

With more and more unaware developers deploying LLM applications and making them publicly available, awareness to how an attacker can overwhelm both the LLM and the company's bank account should become a top priority to anyone involved",We are seeing more Objective being the resources used to run LLMs. Can be merged with v2 candidate #31 Unrestriced Resource Consumption.
0,AdversarialAIRedTeamingCyberOps,13,This definitely very important ,SecOps is the way to go else we run the risk of good old days,"In today's world, APTs are conducting sophisticated offensive operations including creating deepfakes, spreading misinformation, and conducting cyber warfare. As the OWASP LLM authority it is up to us to ensure we help enterprises understand the risk involved and how they can mitigate it.","Importance: Adversarial AI Red Teaming involves simulating attacks to identify and mitigate vulnerabilities in AI systems, crucial for improving resilience against real-world threats.

Top-Level Entry: This should be a new, top-level entry due to its specialized focus on proactive security testing and unique techniques used in AI adversarial attacks.

Additional Thoughts: Develop dedicated teams for continuous testing, create robust frameworks for adversarial simulations, collaborate across industries for best practices, and integrate findings into AI development lifecycles for enhanced security.","AI red teaming is crucial for uncovering vulnerabilities in AI systems before malicious actors can exploit them. This proactive approach enhances the robustness and security of AI technologies, ensuring they can withstand and recover from attacks. Additionally, AI red teaming helps meet regulatory requirements, builds trust with users, and ensures ethical operation by identifying and mitigating potential harms. While AI red teaming could be a top-level entry due to its specialized nature requiring expertise in both AI and cybersecurity, it can also be integrated into a broader vulnerability management framework for a holistic approach to system security. Effective AI red teaming relies on interdisciplinary collaboration, continuous testing, and transparent reporting to improve industry standards and foster a culture of shared learning. Whether as an independent discipline or part of a larger framework, AI red teaming is essential for the safe and ethical deployment of AI technologies.",Fundamentally dangerous because the damage can be far more widespread and many magnitudes more significant than traditional cybersecurity exploits.,"This entry addresses the strategic exploitation of AI in cyber offensives, highlighting its role in misinformation and cyber warfare. Its relevance to national security and evolving cybercrime tactics justifies a standalone category.",,,
9,DevelopingInsecureSourceCode,12,Security is always important,"Code assistants usage is most common in cases where the user does not have the competences to evaluate it. LLMs are known to generate vulnerable code and so far were not patched for it. With pressure to have higher output with LLMs, we are effectively carpet-bombing codebases with vulnerabilities to go 10% faster, that we will have to pay later down the line with 10x refactor overhead.",Many companies are already using copilots or LLM-based tools for code generation. Memorization or insecure code injections are important security concerns for the new generation of LLM-written apps. Top level item I think,The candidates most prone to have their code written by a LLM are also the ones least probably to verify security issues with it.,Developing insecure code combined with overreliance on AI can lead to vulnerabilities in resulting programs. ,"Developing insecure source code in large language models introduces vulnerabilities that can be exploited by attackers, resulting in data breaches, unauthorized access, and compromised system integrity. Poor coding practices increase the risk of introducing flaws that undermine the security and reliability of AI applications. It shows the importance of adopting secure coding standards, regular code reviews, and automated security testing to ensure that AI systems are built on a foundation of robust and secure code.",a complete new attack vector that is not covered,"My response is slightly different than the given description of this entry choice, however, I didn't see a better fit among the choices.

This one can be combined with:
DangerousHallucinations
ImproperErrorHandling
InsecureInputHandling
Overreliancerewrite

This is an enormous issue because many coders, beginner and advance alike, are using GenAI for help with their coding. The problem is that most great coding makes up a very small percentage of the coding population. There is much more bad code than good code because it takes years of experience and often large coordinated teams. Even then bugs are introduced in the code. The issue is that GenAI models work on a statistical basis. The code used is the code that is ""used on average"" and that code is generally no the ideal code base.

",,
27,SystemPromptLeakage,11,"I believe this is a new vector that could expose critical information about the bots original purpose, and aid an attacker in crafting more specific attacks. ","As soon as I know the system prompt, I can force it into DAN mode with some prompt engineering",The system prompt may have rules and boundaries and sometimes sensitive information that not all users should be exposed to. ,"System prompts may contain sensitive information, which could leak. ","So many hacks seem to start here.  With leakage of, or overwriting the system propt.","This should be a new, top-level vulnerability

With LLM applications starting to contain much more context and information in the system prompt its leakage is becoming more and more dangerous. 

For example Custom GPTs (In the GPT store) contain the knowledge files contents in the system prompt (or the actual location in the VM to access the file). An attacker revealing this system prompt can fetch all the knowledge of the GPT.
In the same Custom GPTs, the system prompt also contains the actions (i.e. APIs) that the GPT can use, and those can also be uncovered by an attacker extremely easily.

With everyone building system prompts, and being completely unaware of the dangers while they're building them, system prompts are becoming bigger, more precise, and contain more and more information which can be incredibly sensitive. (like APIs, functions, and knowledge). It is our responsibility as a community to raise awareness to the dangers that those system prompts are exposed to.

In addition, if a system prompt is leaked it can easily be used to craft all sorts of elaborate prompt injections (direct & indirect) which will be much more robust and focused then the general ones.
For example an indirect prompt injection can be made incredibly robust by mentioning something the LLM saw in its system prompt (like a certain function it can use) to let the LLM know that this content is actually instructions.
This makes the system prompt a coveted prize every attacker would love to get their hands on.

The web is full of examples of leaked system prompts, its time to raise awareness to this vulnerability
","This can be combined with 
AdversarialAIRedTeamingCyberOps
BypassingSystemInstructionsUsingSystemPromptLeakage
SupplyChainVulnerabilities

In the future, breach data will be used to for enumeration and offensive security ops. Adversaries will be able to query what security controls an organization has in place. They'll be able to learn how contractors are connected and interact with a target company. This could also be done by adding the breached data of a company's partner to understand how they communicated with their partner company, the real target. 

If the breached data includes security logs or reports of audits, past investigations, or even daily notable closures, they could use a GenAI to give them the weaknesses based on those reports. This could give any adversary the tools and knowledge to drastically up their game.",,,
10,EmbeddingInversion,11,"There are tons of new vendors happy to store your vector embeddings, but most/all do not have a built in story for encrypting embeddings (using a distance preserving algo).  Which creates a brand new avenue for PII leakage :(","There are custom embedding models which are creating 1) Embedding Membership attack  , 2) Embedding Inversion attack. ",I don't think enough attention is given to the risk of extracting data from enbeddings. I think that the prevalence of RAG workflows and other tools that leverage embeddings mean the attack surface could be very large.,new top level entry; it is inherent to genAI architectures (but different in nature from LLM01) and a high-impact due to sensitive data leakage risk,This a misunderstood and ignored entry so I welcome this candidate ,"Embedding inversion, the process of reversing an embedding to retrieve original input data, poses significant privacy and security risks. It is crucial for data privacy, as it can expose sensitive information and undermine protections for individuals. Additionally, it presents security risks, allowing attackers to reconstruct confidential or proprietary data, leading to potential breaches and misuse. Protecting embeddings from inversion is essential for maintaining the integrity and trustworthiness of AI models. Embedding inversion could be considered a top-level entry due to its specific technical challenges and risks, requiring specialized techniques to secure embeddings against such attacks. Alternatively, it could be integrated into a broader AI vulnerability framework for a comprehensive risk management approach. Effective solutions demand advanced encryption methods, interdisciplinary collaboration between AI researchers, security experts, and privacy advocates, and continuous assessment to keep pace with evolving threats. Whether treated independently or as part of a larger framework, embedding inversion is a critical issue that must be addressed to ensure the privacy, security, and integrity of AI systems.",ModelInvesion (related to training data) and the other entry on EmbeddingInversation are covering seperate topics that I think we should combine into one topic about using Inversion attacks to exfiltrate data from the app.,I think there is value in merging this with v2 candidate #19 Model Inversion,,
11,FineTuningRag,10,The RAG/finetuning component is another corner piece of generative AI - and requires to be a first class citizen.,LLMs are getting synonymous with RAG hence too dependent,"It should be new a top-level entry, or it could be rolled into Training Data Poisoning. This is a more domain/architecture-specific attack, but still important to keep in mind.","A new, top-level vulnerability

As RAG & Finetuning (RAG especially) become more popular, new vulnerabilities are being discovered. RAG poisoning for example is an important one, an attacker can easily mislead a user by simply sending them a simple file.

RAG also presents dangerous indirect prompt injection attacks  which can mislead the user even more. For example in Microsoft Copilot you can use an IPI to switch references, basically giving the user a false answer while showing him that it came from a file they trust.

With people relying more and more on LLMs, even for decision making, the ways an attacker can mess with the info the LLM outputs through the RAG and create a trustworthy forefront present an ever increasing threat",RAG SECURITY is critical as the main design pattern yet should be broken down into several categories,,,,,
